client_id,outcome,confidence,review_status
C00000001,Good,0.82,Review Not Required
C00000002,Bad,0.75,Review Required
C00000003,Good,0.94,Review Not Required
C00000004,Bad,0.86,Review Not Required
C00000005,Bad,0.89,Review Not Required
C00000006,Bad,0.83,Review Not Required
C00000007,Bad,0.79,Review Required
C00000008,Bad,0.82,Review Not Required
C00000009,Good,0.8,Review Not Required
C00000010,Good,0.75,Review Required
C00000011,Good,0.87,Review Not Required
C00000012,Good,0.98,Review Not Required
C00000013,Bad,0.81,Review Not Required
C00000014,Bad,0.9,Review Not Required
C00000015,Good,0.79,Review Required
C00000016,Bad,0.84,Review Not Required
C00000017,Bad,0.82,Review Not Required
C00000018,Good,0.89,Review Not Required
C00000019,Good,0.92,Review Not Required
C00000020,Bad,0.73,Review Required
C00000021,Good,0.91,Review Not Required
C00000022,Bad,0.77,Review Required
C00000023,Bad,0.81,Review Not Required
C00000024,Good,0.82,Review Not Required
C00000025,Good,1,Review Not Required
C00000026,Bad,0.97,Review Not Required
C00000027,Good,0.94,Review Not Required
C00000028,Good,0.85,Review Not Required
C00000029,Good,0.86,Review Not Required
C00000030,Bad,0.89,Review Not Required
C00000031,Bad,0.98,Review Not Required
C00000032,Bad,0.98,Review Not Required
C00000033,Bad,0.89,Review Not Required
C00000036,Bad,0.91,Review Not Required
C00000037,Bad,0.81,Review Not Required
C00000038,Good,0.81,Review Not Required
C00000039,Bad,0.9,Review Not Required
C00000040,Good,0.86,Review Not Required
C00000041,Bad,0.8,Review Not Required
C00000042,Bad,0.82,Review Not Required
C00000043,Bad,0.92,Review Not Required
C00000044,Good,0.89,Review Not Required
C00000045,Bad,0.94,Review Not Required
C00000046,Good,0.87,Review Not Required
C00000047,Bad,0.93,Review Not Required
C00000048,Good,0.83,Review Not Required
C00000049,Bad,1,Review Not Required
C00000050,Bad,0.8,Review Not Required
C00000051,Bad,0.9,Review Not Required
C00000052,Bad,0.9,Review Not Required
C00000053,Bad,0.86,Review Not Required
C00000055,Good,0.89,Review Not Required
C00000056,Bad,1,Review Not Required
C00000057,Good,0.73,Review Required
C00000058,Bad,0.84,Review Not Required
C00000059,Bad,0.86,Review Not Required
C00000060,Good,0.91,Review Not Required
C00000061,Bad,0.9,Review Not Required
C00000062,Good,1,Review Not Required
C00000063,Good,0.88,Review Not Required
C00000064,Good,0.81,Review Not Required
C00000065,Good,0.91,Review Not Required
C00000066,Good,0.82,Review Not Required
C00000067,Good,0.91,Review Not Required
C00000068,Bad,0.94,Review Not Required
C00000070,Bad,0.93,Review Not Required
C00000071,Bad,0.8,Review Not Required
C00000072,Bad,0.74,Review Required
C00000073,Good,0.94,Review Not Required
C00000074,Bad,0.86,Review Not Required
C00000075,Good,1,Review Not Required
C00000076,Good,0.76,Review Required
C00000077,Bad,0.85,Review Not Required
C00000078,Bad,0.84,Review Not Required
C00000079,Bad,0.72,Review Required
C00000080,Bad,0.85,Review Not Required
C00000081,Good,0.98,Review Not Required
C00000082,Bad,0.87,Review Not Required
C00000083,Bad,0.95,Review Not Required
C00000084,Good,0.8,Review Not Required
C00000085,Bad,0.92,Review Not Required
C00000086,Good,0.84,Review Not Required
C00000087,Bad,0.72,Review Required
C00000089,Bad,0.77,Review Required
C00000090,Good,0.74,Review Required
C00000091,Bad,0.84,Review Not Required
C00000092,Bad,0.77,Review Required
C00000093,Good,0.8,Review Not Required
C00000094,Good,0.91,Review Not Required
C00000095,Good,0.82,Review Not Required
C00000096,Good,0.79,Review Required
C00000097,Bad,0.89,Review Not Required
C00000098,Good,0.95,Review Not Required
C00000099,Bad,0.94,Review Not Required
C00000100,Bad,0.8,Review Not Required
C00000101,Bad,0.87,Review Not Required
C00000102,Bad,0.87,Review Not Required
C00000103,Bad,0.83,Review Not Required
C00000105,Bad,0.91,Review Not Required
C00000106,Good,0.83,Review Not Required
C00000107,Bad,0.78,Review Required
C00000108,Bad,0.87,Review Not Required
C00000110,Bad,0.81,Review Not Required
C00000112,Bad,0.94,Review Not Required
C00000113,Good,0.9,Review Not Required
C00000114,Good,0.78,Review Required
C00000115,Bad,0.87,Review Not Required
C00000116,Good,0.76,Review Required
C00000117,Good,0.9,Review Not Required
C00000118,Good,0.74,Review Required
C00000119,Bad,0.84,Review Not Required
C00000120,Bad,0.76,Review Required
C00000121,Bad,0.89,Review Not Required
C00000122,Bad,0.8,Review Not Required
C00000123,Bad,0.85,Review Not Required
C00000124,Bad,0.91,Review Not Required
C00000125,Bad,0.85,Review Not Required
C00000126,Good,0.78,Review Required
C00000127,Bad,0.8,Review Not Required
C00000128,Good,0.83,Review Not Required
C00000129,Good,0.8,Review Not Required
C00000130,Bad,0.83,Review Not Required
C00000131,Good,0.84,Review Not Required
C00000132,Good,0.98,Review Not Required
C00000134,Bad,0.83,Review Not Required
C00000135,Good,0.94,Review Not Required
C00000136,Bad,0.93,Review Not Required
C00000137,Bad,0.85,Review Not Required
C00000138,Good,0.78,Review Required
C00000139,Good,0.77,Review Required
C00000140,Good,0.87,Review Not Required
C00000141,Good,0.73,Review Required
C00000142,Bad,0.81,Review Not Required
C00000143,Bad,0.9,Review Not Required
C00000144,Bad,0.83,Review Not Required
C00000145,Good,0.88,Review Not Required
C00000146,Good,0.82,Review Not Required
C00000147,Good,0.77,Review Required
C00000148,Bad,0.96,Review Not Required
C00000149,Bad,0.86,Review Not Required
C00000150,Good,0.81,Review Not Required
C00000151,Bad,0.86,Review Not Required
C00000152,Bad,0.89,Review Not Required
C00000153,Good,0.84,Review Not Required
C00000154,Good,0.94,Review Not Required
C00000155,Good,0.86,Review Not Required
C00000156,Bad,0.88,Review Not Required
C00000157,Bad,0.72,Review Required
C00000158,Good,0.87,Review Not Required
C00000159,Good,0.76,Review Required
C00000160,Good,0.94,Review Not Required
C00000161,Bad,0.74,Review Required
C00000162,Good,0.83,Review Not Required
C00000163,Good,0.94,Review Not Required
C00000164,Good,0.75,Review Required
C00000165,Good,0.76,Review Required
C00000166,Bad,0.74,Review Required
C00000167,Bad,0.82,Review Not Required
C00000168,Good,0.96,Review Not Required
C00000169,Good,0.94,Review Not Required
C00000170,Bad,1,Review Not Required
C00000171,Good,0.85,Review Not Required
C00000172,Bad,0.99,Review Not Required
C00000173,Bad,0.81,Review Not Required
C00000174,Bad,0.97,Review Not Required
C00000175,Good,0.75,Review Required
C00000176,Good,0.99,Review Not Required
C00000178,Bad,0.77,Review Required
C00000179,Good,0.9,Review Not Required
C00000180,Bad,0.99,Review Not Required
C00000181,Bad,0.9,Review Not Required
C00000182,Good,0.86,Review Not Required
C00000183,Good,0.75,Review Required
C00000184,Bad,1,Review Not Required
C00000185,Bad,0.85,Review Not Required
C00000186,Good,0.87,Review Not Required
C00000187,Good,0.81,Review Not Required
C00000188,Good,0.92,Review Not Required
C00000189,Bad,0.87,Review Not Required
C00000190,Good,0.87,Review Not Required
