dimdateid,datetype,fulldate,yearnum,yearbegindate,yearenddate,daynumofweek,daynumofmonth,daynumofquarter,daynumofyear,dayofweekname,dayofweekabbreviation,juliandaynumofyear,isweekday,isfederalusholiday,holidaydescription,islastdayofweek,islastdayofmonth,islastdayofquarter,islastdayofyear,weekofyearbegindate,weekofyearenddate,weekofmonthbegindate,weekofmonthenddate,weekofquarterbegindate,weekofquarterenddate,weeknumofmonth,weeknumofquarter,weeknumofyear,monthname,monthnameabbreviation,monthbegindate,monthenddate,monthnumofyear,monthformatyyyymm,quarternumofyear,quarterbegindate,quarterenddate,quarterformatyyyyqq,quarterformatqq,fiscalmonthofyear,fiscalquarter,fiscalyear,fiscalyearmonthyyyymm,fiscalyearquarteryyyyqq
-4,NOT APPLICABLE,1/1/1900,0,1/1/1900,1/1/1900,0,0,0,0,NOT APPLICABLE,NA,0,-,0,-,0,0,0,0,1/1/1900,1/1/1900,1/1/1900,1/1/1900,1/1/1900,1/1/1900,0,0,0,-,-,1/1/1900,1/1/1900,0,-      ,0,1/1/1900,1/1/1900,-     ,- ,0,0,0,-,-
-3,INVALID,1/1/1900,0,1/1/1900,1/1/1900,0,0,0,0,INVALID,INV,0,-,0,-,0,0,0,0,1/1/1900,1/1/1900,1/1/1900,1/1/1900,1/1/1900,1/1/1900,0,0,0,-,-,1/1/1900,1/1/1900,0,-      ,0,1/1/1900,1/1/1900,-     ,- ,0,0,0,-,-
-2,UNASSIGNED,1/1/1900,0,1/1/1900,1/1/1900,0,0,0,0,UNASSIGNED,NYA,0,-,0,-,0,0,0,0,1/1/1900,1/1/1900,1/1/1900,1/1/1900,1/1/1900,1/1/1900,0,0,0,-,-,1/1/1900,1/1/1900,0,-      ,0,1/1/1900,1/1/1900,-     ,- ,0,0,0,-,-
-1,UNKNOWN,1/1/1900,0,1/1/1900,1/1/1900,0,0,0,0,UNKNOWN,UNK,0,-,0,-,0,0,0,0,1/1/1900,1/1/1900,1/1/1900,1/1/1900,1/1/1900,1/1/1900,0,0,0,-,-,1/1/1900,1/1/1900,0,-      ,0,1/1/1900,1/1/1900,-     ,- ,0,0,0,-,-
20100101,Normal,1/1/2010,2010,1/1/2010,12/31/2010,6,1,1,1,Friday,Fri,2010001,Y,Y,New Years,N,N,N,N,1/1/2010,1/2/2010,1/1/2010,1/2/2010,1/1/2010,1/2/2010,1,1,1,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100102,Normal,1/2/2010,2010,1/1/2010,12/31/2010,7,2,2,2,Saturday,Sat,2010002,N,N,Not a Holiday,Y,N,N,N,1/1/2010,1/2/2010,1/1/2010,1/2/2010,1/1/2010,1/2/2010,1,1,1,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100103,Normal,1/3/2010,2010,1/1/2010,12/31/2010,1,3,3,3,Sunday,Sun,2010003,N,N,Not a Holiday,N,N,N,N,1/3/2010,1/9/2010,1/3/2010,1/9/2010,1/3/2010,1/9/2010,2,2,2,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100104,Normal,1/4/2010,2010,1/1/2010,12/31/2010,2,4,4,4,Monday,Mon,2010004,Y,N,Not a Holiday,N,N,N,N,1/3/2010,1/9/2010,1/3/2010,1/9/2010,1/3/2010,1/9/2010,2,2,2,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100105,Normal,1/5/2010,2010,1/1/2010,12/31/2010,3,5,5,5,Tuesday,Tue,2010005,Y,N,Not a Holiday,N,N,N,N,1/3/2010,1/9/2010,1/3/2010,1/9/2010,1/3/2010,1/9/2010,2,2,2,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100106,Normal,1/6/2010,2010,1/1/2010,12/31/2010,4,6,6,6,Wednesday,Wed,2010006,Y,N,Not a Holiday,N,N,N,N,1/3/2010,1/9/2010,1/3/2010,1/9/2010,1/3/2010,1/9/2010,2,2,2,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
