clientid,maid,device_type,sha1_hashed_email,collection_timestamp,ip_address,source_id
C00000001,r6734zoi-q54g-02kh-01e9-2ecpoi009b34,android,631af1d240c4cb1a1b02f76ed954a2ffe5ae4ea9,1518737611000,91.526.01.940,4
C00000002,823572BS-I568-AH0W-86B5-Q520L29Q8ASC,ios,bd2b80e708ec8e13fc8ee220b5a29d308f2a1797,1523144011000,67.358.47.358,12
C00000003,te1vj0ob-9kt1-1hzw-hm82-92hf02hisaz5,android,ab483fdec46cef72c7ecff3357f78187e3fb6d82,1585179211000,43.290.04.423,2
C00000004,4rk21dda-k49k-9pj1-j4p1-yo9911qk0071,android,e8089283727e6ce9b09eb37cb257e3db0f8411cd,1594424011000,75.065.05.323,5
C00000005,0175JS3U-L9X0-M42T-8121-F922J20Q64PQ,ios,c58c839d53ce6e589a4e60e8f05436ab86216184,1538264011000,48.241.59.627,2
C00000006,jedz0ls3-r77t-7702-082h-75y3wxa8a9cc,android,15532f3ab748fe33c765fa9d3f3a6b0bbd6b8b90,1589412811000,11.713.69.190,2
C00000007,k8opay79-mq12-w5d5-v0oe-81e50z28v2pq,android,41743fe4baa8485a739714c563ed44341e3c4de3,1585092811000,89.587.37.945,5
C00000008,0E0G5A97-4517-R5NT-NL63-64VJ85Y08IFD,ios,d70f84cfd48b4b1f02a1022f230d78461be04887,1569022411000,69.360.29.807,8
C00000009,IA64S1G5-1XF5-4F84-42BI-EY2X0L4H52V0,ios,3ef2450740fc38e539519b669a0f319516834d55,1550532811000,91.719.66.508,1
C00000010,7165hwp6-aigg-pp79-iuq3-922okeh77tca,android,19da953c538c7ff6ede720922aaf7bb7d84d8938,1568763211000,11.489.78.447,2
C00000011,TEC873F6-87LL-I4KU-2LNP-F9V9346I768U,ios,7de78c70497b45d57e5fc63372591d9b374d458b,1553729611000,70.143.55.190,5
C00000012,JORM0P3T-4S55-KYGA-7311-04A3T3528W16,ios,aedbb37917a8934490e4380ec30b805d31c639a2,1589067211000,52.365.12.828,14
C00000013,O2A0HWR1-403J-AK89-CRMI-V2J46E0GE65B,ios,5cb2d6ab08b1fe2f1cf55bce9382fa6c239ac2f0,1556062411000,38.709.95.040,8
C00000014,x1a94d83-76ib-572f-9556-v791r0txahg2,android,075332b8d4727048cb5675e39d596c598c265f1d,1585956811000,33.572.28.336,2
C00000015,dtosfcmh-5p5t-7yhc-55hm-z6gt57gn5gw0,android,44b68b5e55a1b48ec16a3e0f228c2351007d7e55,1562024011000,54.159.10.904,6
C00000016,U2Y9703L-65H4-7901-67UG-97X85C42A2Y5,ios,13ae99a5287501ab307db6a8b49245ca728a365a,1531006411000,24.741.25.230,16
C00000017,R7CX64ED-BLVC-80PI-562B-OO376QY9CW4C,ios,60d66e820369bd8f17689dda61aa655d0f754cc3,1530401611000,90.047.13.947,15
C00000018,H4K31SWB-FY6H-6QV9-0506-AZT5S3F3P0B3,ios,08aabdc831923ea1d36b801c3b08222a37fd9e88,1549841611000,65.128.57.389,2
C00000019,t1jovi55-gl4q-450t-4rn1-718m43e97a1k,android,010146b0469962557e368be5cab4588fe768d7dc,1564184011000,45.194.33.179,3
C00000020,296066hy-648v-19z8-2882-1f5ujp3e4w33,android,e991d2b6bd640d15aadabac081d0e7c681cedec7,1575329611000,54.904.17.865,10
C00000021,01314BJ0-31EK-N261-SMUX-6878J29H3X9B,ios,d422300a2f5ec9a1f7b65fd1d2d1063846278be8,1561160011000,76.548.96.062,9
C00000022,panj0upm-6n2x-1iw1-rkos-58b07fqbhq77,android,bc32600829878509cf9d525ebb682ecbbf3c0c10,1592868811000,45.713.43.103,12
C00000023,fd8yu58y-0qq7-80i2-r10e-03yx15puwnj2,android,4fd1c8a4355ed1e915a12ecf6f8ec0fde93a61ea,1577748811000,75.641.88.881,11
C00000024,E4M3V817-2GH6-NRL8-B9U1-E2X9E5772VPM,ios,afb71cab4a99fab9262a08e624609e9c835a98a3,1563147211000,88.241.73.824,1
C00000025,NLI1U2C7-P37E-142M-5C26-8D8JV8207J83,ios,19595418869f998fe1e356b4502c29786cb26957,1598225611000,76.159.47.730,4
C00000026,X0LW5UNW-4ZHK-ZAOO-V2FL-7907U51837DT,ios,ebddd3131e76ea94cc0a13a33dc7103a8efff2d4,1529364811000,93.620.96.669,14
C00000027,42WQY295-73E2-DZGX-O9OQ-NI9417FU0US0,ios,69e105b8ad74bb82d27d006cc8a7a6c8d0d450bd,1541633611000,85.988.32.774,10
C00000028,ib427wj7-79i4-87n3-l643-499k349oiv1r,android,de2044725055b1dddbe205db6f21540d4faf08d1,1522539211000,66.910.45.592,9
C00000029,l5wmu000-wk6u-b7r0-543m-1h2n1buv8284,android,6656952547bd2d2990428490a74e6a8e5a8cad63,1553297611000,83.708.20.549,14
C00000030,49kjwc91-xva4-7se8-2m6q-893f2t767168,android,cb0b9e22f0fec279b7c704587a170b4324007338,1556148811000,75.037.32.838,6
